City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
stadtallendorf,50.8333,9.0167,53.69,79,100,5.03,DE,1658977960
teguldet,57.3064,88.1667,70.41,53,51,3.58,RU,1658977960
cairns,-16.9167,145.7667,79.07,66,75,19.57,AU,1658977961
mabaruma,8.2,-59.7833,74.16,93,0,2.71,GY,1658977961
lourdes,43.1,-0.05,56.68,88,0,4.61,FR,1658977961
port moresby,-9.4431,147.1797,81.34,77,85,18.75,PG,1658977962
korla,41.7597,86.1469,93.29,13,0,8.16,CN,1658977962
santa fe,-31.6333,-60.7,59.02,84,100,14.0,AR,1658977691
ibra,22.6906,58.5334,76.46,73,82,7.0,OM,1658977963
lompoc,34.6391,-120.4579,68.77,85,100,12.66,US,1658977910
port hueneme,34.1478,-119.1951,79.79,83,75,9.22,US,1658977948
ponta pora,-22.5361,-55.7256,67.98,42,12,6.22,BR,1658977963
upington,-28.4478,21.2561,54.1,36,0,6.78,ZA,1658977964
choix,26.7092,-108.3219,83.14,65,96,3.2,MX,1658977964
sharkan,57.2989,53.8712,60.57,72,27,5.53,RU,1658977964
xining,36.6167,101.7667,68.61,39,3,0.65,CN,1658977964
marawi,7.9986,124.2928,79.3,77,79,1.88,PH,1658977965
caravelas,-17.7125,-39.2481,67.82,85,24,2.26,BR,1658977965
sao jose da coroa grande,-8.8978,-35.1478,72.28,87,69,4.88,BR,1658977965
thinadhoo,0.5333,72.9333,83.17,72,95,13.62,MV,1658977966
hwange,-18.3693,26.5019,55.74,66,0,1.48,ZW,1658977966
ayagoz,47.9714,80.4392,86.85,18,15,17.76,KZ,1658977966
daru,-9.0763,143.2092,78.15,88,45,19.35,PG,1658977967
anju,39.6178,125.6647,85.14,60,75,9.28,KP,1658977967
lapua,62.9693,23.0088,53.35,87,73,3.85,FI,1658977967
banda aceh,5.5577,95.3222,82.11,74,91,4.88,ID,1658977936
dargaville,-35.9333,173.8833,56.03,90,69,13.89,NZ,1658977968
whitehorse,60.7161,-135.0538,60.1,55,100,4.0,CA,1658977968
azare,11.6765,10.1948,75.79,78,98,5.28,NG,1658977969
aripuana,-9.1667,-60.6333,72.99,47,5,1.05,BR,1658977969
warrington,53.3925,-2.5802,60.87,95,100,6.91,GB,1658977969
jinchang,38.4953,102.1739,85.8,16,25,4.12,CN,1658977970
tyukalinsk,55.8732,72.1967,63.75,92,100,11.1,RU,1658977970
sola,-13.8833,167.55,79.88,78,100,10.49,VU,1658977970
semey,50.4111,80.2275,75.42,50,75,15.66,KZ,1658977971
cheremushskiy,61.2731,47.2636,65.39,75,36,6.8,RU,1658977971
sinazongwe,-17.2614,27.4618,59.65,66,0,5.14,ZM,1658977971
markova,48.6758,24.4138,55.02,84,39,2.89,UA,1658977972
puerto escondido,15.85,-97.0667,79.07,85,89,3.71,MX,1658977972
morant bay,17.8815,-76.4093,82.02,83,24,7.14,JM,1658977972
helsinki,60.1695,24.9355,55.96,91,20,3.44,FI,1658977857
san bartolome,27.9248,-15.5733,64.31,76,20,26.46,ES,1658977973
raduzhnyy,62.0961,77.475,61.21,63,73,11.92,RU,1658977973
kishi,9.0833,3.85,70.9,95,100,8.25,NG,1658977973
nanhai,30.1282,111.7784,82.33,77,97,4.38,CN,1658977746
kota belud,6.351,116.4305,85.64,67,79,4.92,MY,1658977974
krasnokholm,51.5979,54.1567,69.57,73,1,7.05,RU,1658977974
aswan,24.0934,32.907,84.56,20,21,7.87,EG,1658977975
tari,12.4086,4.4914,79.41,76,100,8.16,NG,1658977975
srednekolymsk,67.45,153.6833,57.13,42,99,10.45,RU,1658977975
nadym,65.5333,72.5167,63.63,52,31,9.55,RU,1658977976
aranos,-24.1333,19.1167,60.85,23,67,9.91,NA,1658977976
mgachi,51.05,142.2667,70.79,56,26,5.41,RU,1658977976
vila velha,-20.3297,-40.2925,65.95,90,20,1.14,BR,1658977977
yar-sale,66.8333,70.8333,62.74,60,98,11.88,RU,1658977977
kendal,54.3268,-2.7476,59.11,97,100,2.84,GB,1658977977
shingu,33.7333,135.9833,85.21,71,41,6.55,JP,1658977758
lubumbashi,-11.6609,27.4794,51.44,67,90,3.78,CD,1658977978
pitsunda,43.1592,40.3378,64.58,71,0,4.03,GE,1658977978
codrington,-38.2667,141.9667,50.43,84,100,10.47,AU,1658977978
apatity,67.5641,33.4031,54.54,85,59,5.28,RU,1658977979
manta,-0.95,-80.7333,71.38,88,100,9.22,EC,1658977979
almaznyy,48.0448,40.045,68.65,67,1,5.5,RU,1658977980
moose factory,51.2585,-80.6094,62.58,100,100,3.44,CA,1658977980
taga,46.95,24.05,59.32,87,68,2.95,RO,1658977980
lanzhou,36.0564,103.7922,81.41,28,4,0.36,CN,1658977981
broome,42.2506,-75.833,72.64,87,83,1.99,US,1658977981
wilmington,34.2257,-77.9447,82.31,79,0,9.22,US,1658977981
pelym,61.0108,61.9978,66.67,53,56,4.23,RU,1658977982
trapani,37.8333,12.6667,77.88,72,0,7.09,IT,1658977982
zabol,32.25,67.25,73.98,66,69,14.79,AF,1658977983
tura,25.5198,90.2201,80.82,84,53,4.29,IN,1658977983
jeremie,18.65,-74.1167,80.33,80,79,2.53,HT,1658977984
batagay-alyta,67.8006,130.4114,81.57,41,28,1.99,RU,1658977984
totness,5.8833,-56.3167,77.72,86,100,4.99,SR,1658977984
nouadhibou,20.931,-17.0347,71.67,77,5,30.18,MR,1658977985
klichka,50.4457,117.996,70.95,62,60,4.14,RU,1658977986
joshimath,30.5667,79.5667,72.27,89,99,1.86,IN,1658977987
sterling,39.0062,-77.4286,80.15,89,20,5.99,US,1658977931
izhma,65.0083,53.9113,64.45,50,26,7.38,RU,1658977987
sibolga,1.7427,98.7792,85.6,57,32,2.71,ID,1658977987
gjellerup kirkeby,56.1434,9.0499,53.47,76,100,12.66,DK,1658977988
khorixas,-20.3667,14.9667,56.03,28,57,1.68,NA,1658977988
kutum,14.2,24.6667,73.04,63,89,5.61,SD,1658977988
orsta,62.2029,6.1272,48.22,100,20,0.0,NO,1658977989
havoysund,70.9963,24.6622,48.43,87,100,21.3,NO,1658977989
kjopsvik,68.097,16.3742,48.07,86,100,5.37,NO,1658977989
pangody,65.85,74.4859,61.38,58,2,11.48,RU,1658977990
poso,-1.3959,120.7524,86.27,61,64,3.29,ID,1658977990
goderich,43.7501,-81.7165,69.91,87,0,9.06,CA,1658977991
weihai,37.5017,122.1136,80.51,82,90,11.18,CN,1658977991
biltine,14.5333,20.9167,73.27,78,100,10.6,TD,1658977991
shahrud,36.4182,54.9763,78.15,48,61,9.06,IR,1658977992
champasak,14.75,106.0,85.95,70,35,1.79,LA,1658977992
ganta,7.3022,-8.5308,68.23,99,100,3.53,LR,1658977992
yuzhno-kurilsk,44.0306,145.8556,66.87,85,61,8.66,RU,1658977993
te anau,-45.4167,167.7167,41.85,98,100,1.5,NZ,1658977898
bairiki,1.3292,172.9752,86.0,70,40,13.8,KI,1658977993
loano,44.133,8.2513,77.88,80,7,3.0,IT,1658977993
rapid valley,44.0625,-103.1463,72.37,56,27,11.99,US,1658977994
katherine,-14.4667,132.2667,80.92,32,24,13.8,AU,1658977994
tornio,65.8481,24.1466,53.62,84,98,10.67,FI,1658977994
visnes,59.3556,5.2242,51.85,82,21,13.8,NO,1658977995
cap malheureux,-19.9842,57.6142,68.47,79,2,5.01,MU,1658977995
san clemente,33.427,-117.612,74.61,85,25,8.01,US,1658977996
coruripe,-10.1256,-36.1756,70.88,87,21,5.41,BR,1658977996
zhezkazgan,47.8043,67.7144,73.38,49,0,11.18,KZ,1658977978
vostok,46.4856,135.8833,82.63,50,49,4.76,RU,1658977996
shanhetun,44.7,127.2,85.93,61,100,5.39,CN,1658977997
khasan,42.4308,130.6434,74.73,83,58,9.33,RU,1658977997
inhambane,-23.865,35.3833,63.41,80,2,5.19,MZ,1658977871
netrakona,24.8833,90.7167,86.97,68,53,4.99,BD,1658977998
wynyard,-41.0,145.7167,50.97,62,100,9.01,AU,1658977998
okha,53.5739,142.9478,63.61,69,34,13.24,RU,1658977998
illapel,-31.6308,-71.1653,50.27,94,96,2.75,CL,1658977999
husum,54.4858,9.0524,57.97,57,99,8.43,DE,1658977999
bone,51.9669,12.1396,52.83,71,47,4.79,DE,1658977999
pemangkat,1.1667,108.9667,84.25,67,59,4.59,ID,1658978000
suruc,36.9761,38.425,80.47,21,0,6.49,TR,1658978000
makarska,43.2969,17.0178,73.4,75,100,5.28,HR,1658978001
ahuimanu,21.4447,-157.8378,83.91,65,0,14.97,US,1658978001
half moon bay,37.4636,-122.4286,71.91,83,100,21.85,US,1658978001
mogadishu,2.0371,45.3438,75.56,78,71,14.88,SO,1658978002
karagaylinskiy,54.172,86.5521,68.34,69,64,4.27,RU,1658978002
ayan,56.45,138.1667,59.61,86,38,11.07,RU,1658978002
ipixuna,-1.7625,-48.8043,74.86,89,87,3.51,BR,1658978003
namatanai,-3.6667,152.4333,85.1,67,74,12.68,PG,1658977943
kununurra,-15.7667,128.7333,78.78,18,5,13.8,AU,1658978003
garowe,8.4054,48.4845,71.62,63,71,24.4,SO,1658977904
smoky lake,54.1169,-112.4686,70.12,65,19,4.45,CA,1658978004
auki,-8.7676,160.7034,86.54,62,16,3.4,SB,1658978004
